<TICKER> <PER> <DATE> <TIME> <CLOSE>
XAU D 20010419 000000 264.9500000
XAU D 20010420 000000 264.4000000
XAU D 20010423 000000 263.5000000
XAU D 20010424 000000 263.9000000
XAU D 20010425 000000 262.0000000
XAU D 20010426 000000 263.9000000
XAU D 20010427 000000 263.4000000
XAU D 20010430 000000 263.8000000
XAU D 20010501 000000 264.3000000
XAU D 20010502 000000 265.2500000
XAU D 20010503 000000 266.0000000
XAU D 20010504 000000 265.9000000
XAU D 20010507 000000 266.0000000
XAU D 20010508 000000 265.0000000
XAU D 20010509 000000 269.8000000
XAU D 20010510 000000 269.0000000
XAU D 20010511 000000 267.8000000
XAU D 20010514 000000 268.2000000
XAU D 20010515 000000 268.2000000
XAU D 20010516 000000 272.0000000
XAU D 20010517 000000 273.5000000
XAU D 20010518 000000 287.3000000
XAU D 20010521 000000 285.2000000
XAU D 20010522 000000 284.9000000
XAU D 20010523 000000 283.5000000
XAU D 20010524 000000 278.9000000
XAU D 20010525 000000 277.4000000
XAU D 20010529 000000 273.6000000
XAU D 20010530 000000 265.8000000
XAU D 20010531 000000 265.6000000
XAU D 20010601 000000 266.8000000
XAU D 20010604 000000 265.5000000
XAU D 20010605 000000 266.0000000
XAU D 20010606 000000 266.0000000
XAU D 20010607 000000 265.8000000
XAU D 20010608 000000 273.5000000
XAU D 20010611 000000 267.9000000
XAU D 20010612 000000 271.5000000
XAU D 20010613 000000 272.1000000
XAU D 20010614 000000 275.4000000
XAU D 20010615 000000 271.3000000
XAU D 20010618 000000 272.2500000
XAU D 20010619 000000 273.4000000
XAU D 20010620 000000 272.5000000
XAU D 20010621 000000 272.7000000
XAU D 20010622 000000 272.3000000
XAU D 20010625 000000 273.7000000
XAU D 20010626 000000 275.9000000
XAU D 20010627 000000 271.8500000
XAU D 20010628 000000 269.0000000
XAU D 20010629 000000 270.6000000
XAU D 20010702 000000 269.3000000
XAU D 20010703 000000 267.5000000
XAU D 20010705 000000 265.1000000
XAU D 20010706 000000 266.0000000
XAU D 20010709 000000 266.4000000
XAU D 20010710 000000 266.1000000
XAU D 20010711 000000 268.2000000
XAU D 20010712 000000 266.6000000
XAU D 20010713 000000 267.1000000
XAU D 20010716 000000 266.9000000
XAU D 20010717 000000 268.1000000
XAU D 20010718 000000 270.5000000
XAU D 20010719 000000 268.5500000
XAU D 20010720 000000 269.8000000
XAU D 20010723 000000 268.6000000
XAU D 20010724 000000 269.5000000
XAU D 20010725 000000 267.5000000
XAU D 20010726 000000 266.2000000
XAU D 20010727 000000 267.3000000
XAU D 20010730 000000 265.0000000
XAU D 20010731 000000 266.6000000
XAU D 20010801 000000 267.7000000
XAU D 20010802 000000 267.8000000
XAU D 20010803 000000 268.3000000
XAU D 20010806 000000 267.5000000
XAU D 20010807 000000 267.4000000
XAU D 20010808 000000 268.1000000
XAU D 20010809 000000 273.9000000
XAU D 20010810 000000 274.3000000
XAU D 20010813 000000 275.7000000
XAU D 20010814 000000 276.5000000
XAU D 20010815 000000 275.6000000
XAU D 20010816 000000 275.1000000
XAU D 20010817 000000 279.0000000
XAU D 20010820 000000 275.8000000
XAU D 20010821 000000 274.8000000
XAU D 20010822 000000 274.5000000
XAU D 20010823 000000 275.1000000
XAU D 20010824 000000 272.6000000
XAU D 20010827 000000 272.5000000
XAU D 20010828 000000 271.9500000
XAU D 20010829 000000 273.5000000
XAU D 20010830 000000 275.0500000
XAU D 20010831 000000 274.2000000
XAU D 20010904 000000 271.9000000
XAU D 20010905 000000 271.8000000
XAU D 20010906 000000 272.9000000
XAU D 20010907 000000 272.9000000
XAU D 20010910 000000 271.5000000
XAU D 20010911 000000 286.5000000
XAU D 20010912 000000 278.0000000
XAU D 20010913 000000 281.0000000
XAU D 20010914 000000 285.3000000
XAU D 20010917 000000 289.2000000
XAU D 20010918 000000 287.5000000
XAU D 20010919 000000 289.9000000
XAU D 20010920 000000 288.4000000
XAU D 20010921 000000 291.2000000
XAU D 20010924 000000 289.0000000
XAU D 20010925 000000 289.5000000
XAU D 20010926 000000 293.0000000
XAU D 20010927 000000 291.7000000
XAU D 20010928 000000 292.9500000
XAU D 20011001 000000 291.4500000
XAU D 20011002 000000 289.2000000
XAU D 20011003 000000 289.2000000
XAU D 20011004 000000 289.6000000
XAU D 20011005 000000 290.7000000
XAU D 20011008 000000 291.6500000
XAU D 20011009 000000 287.7500000
XAU D 20011010 000000 284.6000000
XAU D 20011011 000000 281.0000000
XAU D 20011012 000000 284.2000000
XAU D 20011015 000000 281.2000000
XAU D 20011016 000000 281.1000000
XAU D 20011017 000000 282.2000000
XAU D 20011018 000000 279.2000000
XAU D 20011019 000000 279.4000000
XAU D 20011022 000000 275.3000000
XAU D 20011023 000000 275.7000000
XAU D 20011024 000000 275.1000000
XAU D 20011025 000000 277.0000000
XAU D 20011026 000000 277.1000000
XAU D 20011029 000000 278.6000000
XAU D 20011030 000000 280.1000000
XAU D 20011031 000000 279.4000000
XAU D 20011101 000000 279.7000000
XAU D 20011102 000000 279.7000000
XAU D 20011105 000000 278.6000000
XAU D 20011106 000000 279.6500000
XAU D 20011107 000000 280.5000000
XAU D 20011108 000000 277.6000000
XAU D 20011109 000000 276.9500000
XAU D 20011112 000000 278.0000000
XAU D 20011113 000000 277.5000000
XAU D 20011114 000000 277.1000000
XAU D 20011115 000000 274.9000000
XAU D 20011116 000000 274.6000000
XAU D 20011119 000000 272.7000000
XAU D 20011120 000000 272.6500000
XAU D 20011121 000000 273.1000000
XAU D 20011123 000000 272.6500000
XAU D 20011126 000000 272.9000000
XAU D 20011127 000000 273.2000000
XAU D 20011128 000000 274.1000000
XAU D 20011129 000000 273.4000000
XAU D 20011130 000000 274.1500000
XAU D 20011203 000000 277.1000000
XAU D 20011204 000000 275.5000000
XAU D 20011205 000000 273.9000000
XAU D 20011206 000000 274.1500000
XAU D 20011207 000000 274.3000000
XAU D 20011210 000000 272.3500000
XAU D 20011211 000000 272.6000000
XAU D 20011212 000000 274.0000000
XAU D 20011213 000000 273.9500000
XAU D 20011214 000000 278.2000000
XAU D 20011217 000000 277.8000000
XAU D 20011218 000000 280.0500000
XAU D 20011219 000000 275.6000000
XAU D 20011220 000000 276.0000000
