<TICKER> <PER> <DATE> <TIME> <CLOSE>
USDRUB D 20010104 000000 28.4400000
USDRUB D 20010105 000000 28.1900000
USDRUB D 20010108 000000 28.1400000
USDRUB D 20010109 000000 28.1500000
USDRUB D 20010110 000000 28.1900000
USDRUB D 20010111 000000 28.0800000
USDRUB D 20010112 000000 28.0700000
USDRUB D 20010115 000000 28.3400000
USDRUB D 20010116 000000 28.1200000
USDRUB D 20010117 000000 28.1700000
USDRUB D 20010118 000000 28.3500000
USDRUB D 20010119 000000 28.1100000
USDRUB D 20010122 000000 28.1600000
USDRUB D 20010123 000000 28.1600000
USDRUB D 20010124 000000 28.1800000
USDRUB D 20010125 000000 28.1300000
USDRUB D 20010126 000000 28.1300000
USDRUB D 20010129 000000 28.1300000
USDRUB D 20010130 000000 28.1600000
USDRUB D 20010131 000000 28.2200000
USDRUB D 20010201 000000 28.2100000
USDRUB D 20010202 000000 28.2100000
USDRUB D 20010205 000000 28.2100000
USDRUB D 20010206 000000 28.4700000
USDRUB D 20010207 000000 28.2500000
USDRUB D 20010208 000000 28.3100000
USDRUB D 20010209 000000 28.4100000
USDRUB D 20010212 000000 28.6800000
USDRUB D 20010213 000000 28.4500000
USDRUB D 20010214 000000 28.6700000
USDRUB D 20010215 000000 28.4400000
USDRUB D 20010216 000000 28.4300000
USDRUB D 20010219 000000 28.7000000
USDRUB D 20010220 000000 28.4500000
USDRUB D 20010221 000000 28.4400000
USDRUB D 20010222 000000 28.4400000
USDRUB D 20010223 000000 28.5200000
USDRUB D 20010226 000000 28.7000000
USDRUB D 20010227 000000 28.5100000
USDRUB D 20010228 000000 28.4200000
USDRUB D 20010301 000000 28.4300000
USDRUB D 20010302 000000 28.4300000
USDRUB D 20010305 000000 28.4300000
USDRUB D 20010306 000000 28.4200000
USDRUB D 20010307 000000 28.4300000
USDRUB D 20010308 000000 28.4300000
USDRUB D 20010309 000000 28.4200000
USDRUB D 20010312 000000 28.4300000
USDRUB D 20010313 000000 28.4300000
USDRUB D 20010314 000000 28.4300000
USDRUB D 20010315 000000 28.4200000
USDRUB D 20010316 000000 28.4300000
USDRUB D 20010319 000000 28.3900000
USDRUB D 20010320 000000 28.4200000
USDRUB D 20010321 000000 28.4900000
USDRUB D 20010322 000000 28.5200000
USDRUB D 20010323 000000 28.5200000
USDRUB D 20010326 000000 28.7600000
USDRUB D 20010327 000000 28.5300000
USDRUB D 20010328 000000 28.5300000
USDRUB D 20010329 000000 28.5400000
USDRUB D 20010330 000000 28.5400000
USDRUB D 20010402 000000 28.6200000
USDRUB D 20010403 000000 28.6400000
USDRUB D 20010404 000000 28.6300000
USDRUB D 20010405 000000 28.6300000
USDRUB D 20010406 000000 28.6000000
USDRUB D 20010409 000000 28.5600000
USDRUB D 20010410 000000 28.6200000
USDRUB D 20010411 000000 28.6100000
USDRUB D 20010412 000000 28.6100000
USDRUB D 20010413 000000 28.8390000
USDRUB D 20010416 000000 28.8500000
USDRUB D 20010417 000000 27.4700000
USDRUB D 20010418 000000 28.7100000
USDRUB D 20010419 000000 28.6700000
USDRUB D 20010420 000000 28.6400000
USDRUB D 20010423 000000 28.6200000
USDRUB D 20010424 000000 28.6400000
USDRUB D 20010425 000000 28.6500000
USDRUB D 20010426 000000 28.6700000
USDRUB D 20010427 000000 28.9400000
USDRUB D 20010430 000000 28.6900000
USDRUB D 20010501 000000 28.9200000
USDRUB D 20010502 000000 28.6400000
USDRUB D 20010503 000000 28.7100000
USDRUB D 20010504 000000 28.7300000
USDRUB D 20010507 000000 28.7300000
USDRUB D 20010508 000000 28.7300000
USDRUB D 20010509 000000 28.7300000
USDRUB D 20010510 000000 28.9700000
USDRUB D 20010511 000000 28.7300000
USDRUB D 20010514 000000 28.8000000
USDRUB D 20010515 000000 29.0300000
USDRUB D 20010516 000000 28.8200000
USDRUB D 20010517 000000 29.0900000
USDRUB D 20010518 000000 28.8400000
USDRUB D 20010521 000000 28.8600000
USDRUB D 20010522 000000 28.8600000
USDRUB D 20010523 000000 28.8600000
USDRUB D 20010524 000000 29.1000000
USDRUB D 20010525 000000 28.8500000
USDRUB D 20010528 000000 29.0900000
USDRUB D 20010529 000000 28.8600000
USDRUB D 20010530 000000 29.1300000
USDRUB D 20010531 000000 28.9200000
USDRUB D 20010601 000000 28.9200000
USDRUB D 20010604 000000 29.1600000
USDRUB D 20010605 000000 28.9400000
USDRUB D 20010606 000000 29.1800000
USDRUB D 20010607 000000 28.9300000
USDRUB D 20010608 000000 28.9200000
USDRUB D 20010611 000000 28.9100000
USDRUB D 20010612 000000 28.9100000
USDRUB D 20010613 000000 27.6600000
USDRUB D 20010614 000000 28.8900000
USDRUB D 20010615 000000 28.8700000
USDRUB D 20010618 000000 28.8800000
USDRUB D 20010619 000000 28.8900000
USDRUB D 20010620 000000 28.9000000
USDRUB D 20010621 000000 28.8800000
USDRUB D 20010622 000000 28.8600000
USDRUB D 20010625 000000 28.8700000
USDRUB D 20010626 000000 28.8700000
USDRUB D 20010627 000000 28.8900000
USDRUB D 20010628 000000 28.8800000
USDRUB D 20010629 000000 28.9000000
USDRUB D 20010702 000000 28.9400000
USDRUB D 20010703 000000 28.9500000
USDRUB D 20010704 000000 29.2000000
USDRUB D 20010705 000000 28.9400000
USDRUB D 20010706 000000 28.9600000
USDRUB D 20010709 000000 29.0100000
USDRUB D 20010710 000000 29.0100000
USDRUB D 20010711 000000 28.9600000
USDRUB D 20010712 000000 28.9700000
USDRUB D 20010713 000000 28.9600000
USDRUB D 20010716 000000 28.9900000
USDRUB D 20010717 000000 29.0000000
USDRUB D 20010718 000000 29.0100000
USDRUB D 20010719 000000 29.0400000
USDRUB D 20010720 000000 29.0300000
USDRUB D 20010723 000000 29.0300000
USDRUB D 20010724 000000 29.0400000
USDRUB D 20010725 000000 29.2400000
USDRUB D 20010726 000000 29.2500000
USDRUB D 20010727 000000 29.0300000
USDRUB D 20010730 000000 29.0600000
USDRUB D 20010731 000000 29.1000000
USDRUB D 20010801 000000 29.0900000
USDRUB D 20010802 000000 29.1100000
USDRUB D 20010803 000000 29.1100000
USDRUB D 20010806 000000 29.0900000
USDRUB D 20010807 000000 29.0800000
USDRUB D 20010808 000000 29.0700000
USDRUB D 20010809 000000 29.3500000
USDRUB D 20010810 000000 29.1100000
USDRUB D 20010813 000000 27.8600000
USDRUB D 20010814 000000 27.8800000
USDRUB D 20010815 000000 29.1100000
USDRUB D 20010816 000000 29.3400000
USDRUB D 20010817 000000 29.1100000
USDRUB D 20010820 000000 29.1300000
USDRUB D 20010821 000000 27.8900000
USDRUB D 20010822 000000 29.1300000
USDRUB D 20010823 000000 29.1300000
USDRUB D 20010824 000000 29.1200000
USDRUB D 20010827 000000 29.1100000
USDRUB D 20010828 000000 29.1000000
USDRUB D 20010829 000000 29.1100000
USDRUB D 20010830 000000 29.1900000
USDRUB D 20010831 000000 29.1700000
USDRUB D 20010903 000000 29.4540000
USDRUB D 20010904 000000 29.2200000
USDRUB D 20010905 000000 29.2200000
USDRUB D 20010906 000000 29.2100000
USDRUB D 20010907 000000 29.2000000
USDRUB D 20010910 000000 29.2100000
USDRUB D 20010911 000000 28.4800000
USDRUB D 20010912 000000 29.2300000
USDRUB D 20010913 000000 29.2300000
USDRUB D 20010914 000000 29.2300000
USDRUB D 20010917 000000 29.2100000
USDRUB D 20010918 000000 29.2100000
USDRUB D 20010919 000000 29.2000000
USDRUB D 20010920 000000 29.1700000
USDRUB D 20010921 000000 29.1800000
USDRUB D 20010924 000000 29.2000000
USDRUB D 20010925 000000 29.1700000
USDRUB D 20010926 000000 29.1600000
USDRUB D 20010927 000000 29.2000000
USDRUB D 20010928 000000 29.2200000
USDRUB D 20011001 000000 29.4800000
USDRUB D 20011002 000000 29.2300000
USDRUB D 20011003 000000 28.0100000
USDRUB D 20011004 000000 29.2800000
